HH_NUM,SOCEC,CITY,PER_DESCcounter,CONFIGcounter,HOME_APPcounter,PETS_RECcounter,HH_INSTAcounter,HH_SIZEcounter,PER_NUM,AGE,SEX,REL_TO_HOH,WT_TYPE,DROPPED,PER_MIT,OCCUPATION,EDUCATION,UNIT_NUM,PROVIDER,CABLE_TV,PARA_ANT,sum[BW_TVCOLOR_TV],PROVEDOR_DE_CABLE,COLOR_TV,RADIO,TELEPHONE,SAMP_ST_D,N_PER
,,,,,,,,,,,,,,,,,,4,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,4,2,4,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230825,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
100041,2,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,60,2,2,1,0,1,2,3,,,,,,,,,,,
,,,,,,,,,2,43,1,4,1,0,2,3,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,2,4,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230822,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
100042,3,1,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,36,1,1,1,0,1,3,7,,,,,,,,,,,
,,,,,,,,,2,44,2,3,1,0,2,3,8,,,,,,,,,,,
,,,,,,,,,3,18,1,4,1,0,3,1,6,,,,,,,,,,,
,,,,,,,,,4,6,2,4,1,0,4,1,2,,,,,,,,,,,
,,,,,,,,,5,3,1,4,1,0,5,5,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,1,2,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20231003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
200001,2,2,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,67,1,1,1,0,1,4,4,,,,,,,,,,,
,,,,,,,,,2,55,2,3,1,0,2,4,1,,,,,,,,,,,
